Seed;Inflation;Unemployment;TotalAdoption;ExRate;MarketWage;GovDebt;NPL;RefRate;PriceLevel;AutoRatio;HybridRatio;BPO_Auto;Manuf_Auto;Retail_Auto;Health_Auto;Public_Auto;Agri_Auto;EffectiveBDP;BPO_Sigma;Manuf_Sigma;Retail_Sigma;Health_Sigma;Public_Sigma;Agri_Sigma;MeanDegree
1;0,325009;0,086030;0,127687;5,395634;8020,071565;887538228,295190;0,005280;0,250000;7,759501;0,064298;0,063390;0,886121;0,280557;0,119614;0,033613;0,005920;0,008750;3000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
2;0,341128;0,079510;0,121511;5,418303;8095,923462;-440657322,877306;0,005117;0,250000;8,546073;0,057935;0,063577;0,832168;0,270133;0,112405;0,030100;0,007731;0,006258;3000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
3;0,351000;0,076290;0,116094;5,432686;8136,913499;-1472870989,941280;0,005337;0,250000;9,175099;0,054721;0,061373;0,856140;0,251584;0,106807;0,018395;0,006821;0,010038;3000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
4;0,363537;0,071420;0,100766;5,457139;8200,306900;-3331902243,931528;0,002690;0,250000;10,187854;0,058746;0,042019;0,775801;0,202908;0,093862;0,035058;0,007734;0,005000;3000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
5;0,328376;0,084930;0,132110;5,399292;8032,837779;837691297,266507;0,003896;0,250000;7,841509;0,060105;0,072005;0,839721;0,285714;0,129177;0,030201;0,009091;0,006258;3000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
6;0,328338;0,085730;0,126263;5,401991;8032,437721;545956428,119255;0,005826;0,250000;7,978519;0,063535;0,062727;0,854015;0,277460;0,119112;0,035176;0,008189;0,011278;3000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
7;0,334842;0,081370;0,124635;5,406065;8069,677945;184681726,791354;0,003484;0,250000;8,159937;0,059647;0,064987;0,833910;0,272727;0,118743;0,028428;0,005002;0,008750;3000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
8;0,337122;0,080400;0,120020;5,408876;8079,385423;67229148,699859;0,003424;0,250000;8,247941;0,060111;0,059909;0,804878;0,270992;0,112357;0,026711;0,005002;0,006258;3000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
9;0,339596;0,079740;0,120274;5,413990;8085,493788;-445132632,777331;0,002654;0,250000;8,507634;0,058877;0,061397;0,841549;0,275206;0,109295;0,028523;0,005000;0,005019;3000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
10;0,342828;0,079240;0,115831;5,421967;8103,431237;-654288307,777027;0,005535;0,250000;8,687556;0,060337;0,055494;0,841727;0,273016;0,100358;0,025126;0,006372;0,008750;3000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
11;0,333759;0,082820;0,124231;5,411003;8057,068628;149452014,608823;0,004071;0,250000;8,213182;0,062418;0,061813;0,793706;0,288790;0,112357;0,030151;0,010000;0,010050;3000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
12;0,319769;0,087940;0,135851;5,389969;8007,418704;1351974047,228138;0,002767;0,250000;7,458272;0,065760;0,070091;0,842657;0,317952;0,125420;0,041806;0,005457;0,010000;3000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
13;0,343343;0,078420;0,115672;5,421174;8107,266736;-725055793,134989;0,004892;0,250000;8,681637;0,060004;0,055668;0,822300;0,246193;0,109792;0,031987;0,003188;0,008750;3000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
14;0,311787;0,090810;0,139331;5,378796;7968,445631;1857496663,514768;0,002401;0,250000;7,140527;0,068708;0,070623;0,868512;0,324444;0,128722;0,050000;0,003643;0,010013;3000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
15;0,334215;0,083230;0,122325;5,413085;8060,588142;-2197203,061004;0,003399;0,250000;8,305911;0,063787;0,058539;0,807018;0,262723;0,116895;0,033445;0,010005;0,007528;3000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
16;0,326545;0,084750;0,133132;5,395284;8031,441886;950514686,974797;0,002046;0,250000;7,714190;0,060524;0,072608;0,854671;0,313452;0,123349;0,018333;0,006821;0,005006;3000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
17;0,356757;0,074170;0,108209;5,442389;8165,532491;-2166830756,922882;0,006543;0,250000;9,581526;0,055567;0,052642;0,788194;0,240025;0,095986;0,033557;0,005460;0,008794;3000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
18;0,355829;0,074460;0,109902;5,444486;8167,281492;-2240452772,191078;0,004452;0,250000;9,549411;0,058326;0,051577;0,844291;0,253817;0,090360;0,026756;0,006369;0,017522;3000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
19;0,335605;0,082680;0,124332;5,416403;8071,913782;-319182838,580536;0,004520;0,250000;8,431930;0,063174;0,061159;0,826241;0,262492;0,121979;0,031773;0,007286;0,007500;3000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
20;0,311468;0,091190;0,142151;5,374283;7968,539327;2220871584,378163;0,003460;0,250000;6,999077;0,066237;0,075915;0,829181;0,359316;0,128837;0,023451;0,006818;0,007500;3000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
21;0,309816;0,092710;0,140652;5,377338;7957,314885;2063504054,509858;0,005370;0,250000;7,080768;0,068913;0,071738;0,858156;0,324889;0,135966;0,023451;0,006369;0,006266;3000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
22;0,364919;0,070390;0,097224;5,453229;8207,141041;-2677010998,907523;0,004900;0,250000;9,964112;0,056436;0,040787;0,754513;0,188175;0,092559;0,043406;0,005007;0,010038;3000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
23;0,334939;0,082120;0,120472;5,410845;8064,277132;-38574438,544111;0,002414;0,250000;8,315038;0,062557;0,057915;0,857143;0,261284;0,111733;0,035235;0,008644;0,005013;3000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
24;0,337444;0,080590;0,120565;5,411941;8082,722233;-6820408,175662;0,004272;0,250000;8,288826;0,060383;0,060181;0,832753;0,256508;0,115445;0,030050;0,004091;0,013784;3000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
25;0,341277;0,079100;0,115326;5,417143;8095,832988;-470154882,694968;0,003340;0,250000;8,555984;0,060841;0,054485;0,822695;0,256345;0,107399;0,018456;0,005912;0,005013;3000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
26;0,363787;0,070720;0,100666;5,449153;8206,494820;-2283331479,983868;0,005012;0,250000;9,751833;0,054771;0,045895;0,797101;0,195693;0,095206;0,033389;0,005462;0,015019;3000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
27;0,376004;0,066160;0,093574;5,469868;8265,846594;-4176790925,255437;0,003334;0,250000;10,777481;0,053384;0,040189;0,748227;0,195214;0,084043;0,023451;0,005912;0,007500;3000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
28;0,332544;0,083180;0,126915;5,407399;8051,106139;41839496,708209;0,004711;0,250000;8,221115;0,060887;0,066028;0,849123;0,296460;0,113178;0,036789;0,005923;0,010025;3000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
29;0,340133;0,079500;0,124270;5,416981;8096,102148;-338634769,085718;0,002703;0,250000;8,461620;0,058261;0,066009;0,829352;0,294304;0,110763;0,021667;0,006372;0,006258;3000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
30;0,318622;0,088460;0,135108;5,387175;7995,335069;1484930935,843828;0,002425;0,250000;7,402924;0,065840;0,069268;0,832740;0,306717;0,129567;0,023411;0,008636;0,013750;3000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
